가게이름,카테고리,위치,평점,리뷰수
꽃밥에피다,한식,서울 종로구 인사동16길 3-6 1층,,175
안녕인사동,테마카페,서울 종로구 인사동길 49,4.1,511
랜디스도넛 안국점,도넛,서울 종로구 북촌로 3 1층,3.9,470
콩지POT지,이탈리안,서울 종로구 북촌로 21-15,3.8,306
먹쉬돈나 삼청동점,떡볶이,서울 종로구 율곡로3길 74-7,2.6,103
기와탭룸,호프 | 요리주점,서울 종로구 율곡로1길 74-7 1층,4.2,192
조금,일식집,서울 종로구 인사동길 60,2.6,119
소금집 델리 안국,샌드위치,서울 종로구 북촌로4길 19 신영빌딩 1층 103호,3.7,900
솔트24,제과 | 베이커리,서울 종로구 율곡로3길 75 1층,4.4,198
경춘자의 라면땡기는날,분식,서울 종로구 율곡로3길 82,3.3,329
와이엔,카페,서울 종로구 윤보선길 71 1층,3.9,146
스미스가 좋아하는 한옥,이탈리안,서울 종로구 삼청로 22-7,3.0,223
스모어마켓 토이하우스2,테마카페,서울 종로구 율곡로3길 74-3,4.4,232
북촌김치재,한식,서울 종로구 북촌로2길 8,3.6,203
스타벅스 안국점,커피전문점,서울 종로구 북촌로 5-1,3.3,32
우드앤브릭 재동점,제과 | 베이커리,서울 종로구 북촌로5길 14 1층,3.4,122
마산해물아구찜,해물 | 생선,서울 종로구 북촌로5길 6 2층,3.3,22
뉘조,한정식,서울 종로구 인사동14길 27,3.7,17
가배도 삼청점,다방,서울 종로구 북촌로5길 56-8 101호,3.6,324
단상,퓨전한식,서울 종로구 북촌로2길 11,3.4,248
런던베이글뮤지엄 안국점,제과 | 베이커리,서울 종로구 북촌로4길 20 연화빌딩 1층,3.2,2607
묵호횟집,회,서울 종로구 북촌로 1 지하 1층,4.1,23
북촌해물,해물 | 생선,서울 종로구 북촌로 25 1 2층,3.7,65
블루보틀 삼청 카페,카페,서울 종로구 북촌로5길 76 1~3층,3.3,931
크리스탈제이드 광화문상하이팰리스점,,서울 종로구 율곡로2길 7 서머셋팰리스 1층 103호,3.8,83
플러스84,베트남음식,서울 종로구 인사동16길 6 1층,4.0,108
플롭 안국점,피자,서울 종로구 북촌로2길 5 1층,3.3,451
호아드카페&갤러리,갤러리카페,서울 종로구 율곡로1길 54-3,3.2,36
애호락,한식,서울 종로구 계동길 41 2층,3.7,156
57th카페,카페,서울 종로구 율곡로3길 17,3.4,9
황생가칼국수,국수,서울 종로구 북촌로5길 78,3.6,624
촌 인사동본점,한정식,서울 종로구 인사동14길 19,2.2,21
갓잇 안국점,멕시칸 | 브라질,서울 종로구 북촌로2길 5-5 1층,4.3,153
땡스오트 안국,카페,서울 종로구 북촌로 21-10 1층,4.2,320
한옥찻집,전통찻집,서울 종로구 인사동12길 9,4.2,150
키즈나,초밥 | 롤,서울 종로구 율곡로1길 78 1층,4.4,131
반타이,태국음식,서울 종로구 율곡로 65 2층,4.0,79
한가네불고기,불고기 | 두루치기,서울 종로구 인사동길 59,4.4,30
큰기와집,한식,서울 종로구 북촌로 20-7,3.1,219
도마 유즈라멘,일본식라면,서울 종로구 북촌로2길 14 1층,3.9,339
푸른별주막,호프 | 요리주점,서울 종로구 인사동16길 19,3.8,28
제이네,양식,서울 종로구 율곡로1길 74-13 1층,4.2,74
삼청동호떡 본점,간식,서울 종로구 율곡로3길 82-6,3.5,64
개성만두 궁,한식,서울 종로구 인사동10길 11-3,2.9,211
여자만 관훈점본관,한식,서울 종로구 인사동14길 13,3.2,10
도토리가든 안국점,카페,서울 종로구 계동길 19-8 1층,2.6,273
재동맷돌순두부,두부전문점,서울 종로구 북촌로2길 6,3.9,18
향가,한정식,서울 종로구 계동길 19-6,3.5,12
두가헌,이탈리안,서울 종로구 삼청로 14,3.3,4
팔오삼,육류 | 고기,서울 종로구 인사동12길 16 1층,4.0,143
간판없는 김치찌개집,찌개 | 전골,서울 종로구 인사동10길 23-14,4.1,123
로씨니,이탈리안,서울 종로구 북촌로 18,3.4,4
황금정,갈비,서울 종로구 북촌로 4,3.3,5
마음을담아내면,한식,서울 종로구 율곡로3길 79,3.6,114
니르바나,인도음식,서울 종로구 인사동길 58 202호,4.7,33
연남토마 북촌점,퓨전일식,서울 종로구 북촌로5길 39 1층,3.8,270
한뫼촌,한식,서울 종로구 북촌로 24-4 1층,3.0,15
KOTTON SEOUL,카페,서울 종로구 인사동12길 17 1층,4.4,221
대장장이화덕피자,피자,서울 종로구 북촌로 42-4,3.8,160
인사동양조장,한식,서울 종로구 율곡로 44-16 지층,4.8,30
소진담 안녕인사동점,디저트카페,서울 종로구 인사동길 49 5층 502호,3.6,175
누룩나무,호프 | 요리주점,서울 종로구 인사동16길 13,4.2,41
안암,국밥,서울 종로구 북촌로5길 10 1층,4.2,161
달막달막,호프 | 요리주점,서울 종로구 인사동16길 11-1,4.1,45
헤비스테이크 안국역점,양식,서울 종로구 계동길 5 1층 3호,3.5,25
스토9,일본식주점,서울 종로구 인사동16길 19 1층,4.2,25
소소하게 삼청,카페,서울 종로구 율곡로1길 40-59 1층,4.3,21
일월카츠,돈까스 | 우동,서울 종로구 계동길 17,4.9,116
비원떡집,떡 | 한과,서울 종로구 북촌로 33-1 1층,3.9,11
선천,한정식,서울 종로구 인사동14길 5 2층,2.7,1
리틀버틀러,카페,서울 종로구 북촌로 8 1층,3.4,301
안국고다,설렁탕,서울 종로구 인사동14길 10,3.8,166
금옥당 인사점,간식,서울 종로구 인사동길 49 안녕인사동 1층,2.4,163
인사동수제비,수제비,서울 종로구 인사동8길 14-1,4.1,113
도마 인사점,한식,서울 종로구 인사동8길 6-1,4.1,124
백년토종삼계탕 북촌점,삼계탕,서울 종로구 북촌로 41,2.6,30
자작나무이야기,카페,서울 종로구 율곡로1길 74-15,3.7,57
배스킨라빈스 삼청마당점,아이스크림,서울 종로구 율곡로3길 74-1,3.4,166
프릳츠 원서점,디저트카페,서울 종로구 율곡로 83 1층,3.0,471
담장옆에 국화꽃 안녕인사동점,디저트카페,서울 종로구 인사동길 49 2층 6호,3.7,254
헝그리서울,호프 | 요리주점,서울 종로구 인사동16길 8-3 헝그리서울,4.1,28
이채카페,카페,서울 종로구 북촌로 20-21,4.5,74
스미레돈카츠 안국점,돈까스 | 우동,서울 종로구 북촌로 14-1,4.2,38
토오베,카페,서울 종로구 인사동길 62-4 3층,,218
노티드 안국,디저트카페,서울 종로구 북촌로 6-3 1층,3.3,1344
어니언 안국점,카페,서울 종로구 계동길 5,3.5,1441
삼청동수제비,수제비,서울 종로구 삼청로 101-1,2.8,930
진옥화할매원조닭한마리 본점,닭요리,서울 종로구 종로40가길 18,3.4,687
청진옥,해장국,서울 종로구 종로3길 32,2.9,264
온천집 익선,샤브샤브,서울 종로구 돈화문로11나길 31-8 1층,3.4,1018
핏제리아오,패밀리레스토랑,서울 종로구 동숭길 86 2  3층,4.6,296
안녕인사동,테마카페,서울 종로구 인사동길 49,4.1,511
블루보틀 삼청 카페,카페,서울 종로구 북촌로5길 76 1~3층,3.3,931
부촌육회,육류 | 고기,서울 종로구 종로 200-12,4.4,98
광화문미진 본점,한식,서울 종로구 종로 19 르메이에르종로타운 1층 116-2 117호,3.3,601
황생가칼국수,국수,서울 종로구 북촌로5길 78,3.6,624
토속촌삼계탕,삼계탕,서울 종로구 자하문로5길 5,3.7,65
다운타우너 안국,햄버거,서울 종로구 북촌로 6-4 1층,4.1,1081
이문설농탕,설렁탕,서울 종로구 우정국로 38-13 1층,3.0,350
깡통만두,분식,서울 종로구 북촌로2길 5-6,3.9,601
계림 종로본점,닭요리,서울 종로구 돈화문로4길 39,3.6,170
오죽이네,닭요리,서울 종로구 돈화문로11가길 25,4.2,440
진진수라 광화문점,한정식,서울 종로구 종로5길 7 타워8빌딩 지하 2층 201-206호,3.6,160
정돈,돈까스 | 우동,서울 종로구 대학로9길 12 지하1층,3.8,168
양연화로 종로직영점,육류 | 고기,서울 종로구 삼일대로17길 18 1 2층,4.3,214
대련집,국수,서울 종로구 종로16길 37,3.6,395
순희네빈대떡,한식,서울 종로구 종로32길 5,2.8,607
우육면관 청계천점,중식,서울 종로구 청계천로 75-2,4.5,428
서린낙지,해물 | 생선,서울 종로구 종로 19 르메이에르 종로타운 2층,3.1,183
아키비스트,카페,서울 종로구 효자로13길 52 1층,3.7,702
대성집,국밥,서울 종로구 사직로 5 1층,3.9,217
서촌계단집,해물 | 생선,서울 종로구 자하문로1길 15 1층,3.1,535
호호식당 대학로점,일식,서울 종로구 대학로9길 35 1층,3.2,373
육회자매집 본점1호점,육류 | 고기,서울 종로구 종로 200-4 1층,3.7,158
포비 광화문점,카페,서울 종로구 종로3길 17 광화문D타워 1층 21호,4.2,530
백부장집닭한마리 본관,닭요리,서울 종로구 삼봉로 100-1,4.3,144
도마 인사점,한식,서울 종로구 인사동8길 6-1,4.1,124
광화문뚝감,감자탕,서울 종로구 새문안로3길 21,4.0,226
스태픽스,카페,서울 종로구 사직로9길 22 1층 102호,3.3,787
차마시는 뜰,전통찻집,서울 종로구 북촌로11나길 26 1층,4.4,238
테라로사 광화문점,커피전문점,서울 종로구 종로1길 50,3.7,129
오레노라멘 인사점,일본식라면,서울 종로구 율곡로 49-4,4.1,537
샤오바오우육면 본점,중국요리,서울 종로구 삼일대로17길 15 1층,3.8,525
산모퉁이,카페,서울 종로구 백석동길 153,3.2,239
일품당 광화문점,샤브샤브,서울 종로구 세종대로23길 25,3.1,44
장군굴보쌈,족발 | 보쌈,서울 종로구 수표로20길 22,3.3,170
소금집 델리 안국,샌드위치,서울 종로구 북촌로4길 19 신영빌딩 1층 103호,3.7,900
참치공방 종각본점,참치회,서울 종로구 종로9길 8 1층,3.3,133
백제정육점,육류 | 고기,서울 종로구 종로35길 34,3.5,306
영춘옥,곰탕,서울 종로구 돈화문로5가길 13,3.0,167
양반댁,한정식,서울 종로구 인사동길 19-18,1.9,148
몽중헌 안국점,중국요리,서울 종로구 북촌로 31-22,4.0,104
화목순대국 광화문1호점,순대,서울 종로구 새문안로5길 11,3.9,74
잘빠진메밀 익선동점,국수,서울 종로구 율곡로8길 73 1층,3.7,248
학림다방,카페,서울 종로구 대학로 119 2층,4.2,148
혜화칼국수,국수,서울 종로구 창경궁로35길 13,3.2,275
광화문한옥집,한식,서울 종로구 새문안로5가길 7 세종클럽 지하 1층,3.1,115
체부동잔치집,국수,서울 종로구 자하문로1길 16 1층,3.8,532
찬양집,국수,서울 종로구 돈화문로11다길 5,3.3,260
자하손만두,한식,서울 종로구 백석동길 12,2.9,323
교대이층집 광화문점,삼겹살,서울 종로구 삼봉로 95,4.1,67
갓덴스시 종로점,초밥 | 롤,서울 종로구 종로12길 14,3.6,244
순대실록 대학로본점,순대,서울 종로구 동숭길 127 우성빌딩 2층,4.6,186
평양고깃집,육류 | 고기,서울 종로구 인사동5길 14 2층,4.5,106
광장시장통큰누이네육회빈대떡,한식,서울 종로구 동호로 403-24 1 2층,4.3,276
암소서울,한식,서울 종로구 새문안로 76 금호아시아나본관 지하1층,3.6,629
유진식당,냉면,서울 종로구 종로17길 40,3.5,197
에베레스트 레스토랑 동대문점,인도음식,서울 종로구 종로51가길 2-1 2층,4.3,275
프릳츠 원서점,디저트카페,서울 종로구 율곡로 83 1층,3.0,471
카페 레이어드 안국점,디저트카페,서울 종로구 북촌로2길 2-3,3.0,619
안주마을,호프 | 요리주점,서울 종로구 자하문로1길 3,4.1,319
영화루,중국요리,서울 종로구 자하문로7길 65,3.0,242
혜화도담,한식,서울 종로구 대명1길 16-6 1층,,149
나누미떡볶이 성대본점,떡볶이,서울 종로구 성균관로 9-1,3.1,397
스미스가 좋아하는 한옥,이탈리안,서울 종로구 삼청로 22-7,3.0,223
시민식당,육류 | 고기,서울 종로구 돈화문로5길 30,3.3,101
동묘집,해물 | 생선,서울 종로구 종로52길 43-9,4.0,155
엄용백돼지국밥 종각점,국밥,서울 종로구 인사동3길 20,3.5,342
H라운지,카페,서울 종로구 자하문로4길 21-9,2.9,231
오목집 광화문점,족발 | 보쌈,서울 종로구 삼봉로 98 1 2층,3.8,67
나무사이로,커피전문점,서울 종로구 사직로8길 21 1층,3.9,153
스코프 서촌점,제과 | 베이커리,서울 종로구 필운대로5가길 31,4.0,185
후라토식당 본점,한식,서울 종로구 새문안로5길 19 로얄빌딩 아케이드 지하1층 63호,4.0,155
평원숯불갈비,갈비,서울 종로구 종로39길 29,3.9,158
칸다소바 혜화점,일본식라면,서울 종로구 대학로 131-1 1층,3.9,120
청수당,카페,서울 종로구 돈화문로11나길 31-9,3.6,928
계열사,치킨,서울 종로구 백석동길 7 1층,,322
원조원할매소문난닭한마리,닭요리,서울 종로구 종로40가길 25,3.3,161
해천어부,일식,서울 종로구 수표로28길 11 1층 103호,3.9,206
살롱순라,이탈리안,서울 종로구 율곡로10길 75,3.8,263
부산회집,회,서울 종로구 돈화문로4길 38,4.0,32
이경문순대곱창,순대,서울 종로구 돈화문로11나길 5,3.8,378
촌놈,삼겹살,서울 종로구 대학로8가길 48 연경빌딩 2층,4.1,198
칸다소바 경복궁점,일본식라면,서울 종로구 자하문로7길 5 1층,3.9,564
이층양옥,이탈리안,서울 종로구 돈화문로11나길 28 1 2층,4.1,250
아델라베일리,이탈리안,서울 종로구 북악산로 48,3.3,177
북촌도담,한식,서울 종로구 북촌로1길 9,3.4,229
청수정,한식,서울 종로구 삼청로 91,3.3,72
개뿔,갤러리카페,서울 종로구 낙산성곽서1길 26 1 2층,4.0,212
포비브라이트 광화문점,카페,서울 종로구 새문안로 76 1층,4.2,252
인사동수제비,수제비,서울 종로구 인사동8길 14-1,4.1,113
평창동북악정,한식,서울 종로구 평창36길 6,3.8,59
천하보쌈,족발 | 보쌈,서울 종로구 창덕궁1길 8 천하보쌈,4.2,193
버거파크 혜화점,햄버거,서울 종로구 대학로11길 5 1층,4.4,457
사발,한식,서울 종로구 사직로8길 34 경희궁의아침 3단지 1층 142호,3.5,474
차이797 광화문점,중식,서울 종로구 새문안로5길 31 센터포인트 광화문빌딩 2층,3.5,2
개성만두 궁,한식,서울 종로구 인사동10길 11-3,2.9,211
육회자매집 종로3호점,육류 | 고기,서울 종로구 종로 208 1 2층 201 203 204호,4.2,249
도트블랭킷,카페,서울 종로구 윤보선길 22 1층,4.2,322
호반,한식,서울 종로구 삼일대로26길 20 1층,4.0,118
이태리재,이탈리안,서울 종로구 율곡로1길 74-9 1층,3.4,225
창화당 익선동점,분식,서울 종로구 수표로28길 23,3.4,245
은성회집,회,서울 종로구 창경궁로 88 광장시장 45-1호,3.3,189
원조누드김밥,분식,서울 종로구 창경궁로 88 광장시장 41호,3.8,345
명동닭한마리 본점,닭요리,서울 종로구 종로40가길 14,4.1,136
수와래,스테이크 | 립,서울 종로구 삼청로 82 2층,,227
꽃밥에피다,한식,서울 종로구 인사동16길 3-6 1층,,175
들풀건강한밥상 청운동점,한식,서울 종로구 자하문로 118,3.3,42
편안한집,한정식,서울 종로구 북촌로 133,3.6,32
하림각,중식,서울 종로구 자하문로 255 1층,3.2,30
종로설렁탕,설렁탕,서울 종로구 종로 110,2.7,60
더키친750,양식,서울 종로구 대학로8가길 80 2층,4.1,96
박순례손말이고기 산정집 광화문점,,서울 종로구 새문안로5가길 3-10 선덕빌딩 2층,2.9,236
공평동꼼장어 본점,장어,서울 종로구 우정국로 29,3.4,152
창신동매운족발 본점,족발 | 보쌈,서울 종로구 종로51길 23,3.7,153
빠리가옥,양식,서울 종로구 수표로28길 33-4,,339
하나로회관,한정식,서울 종로구 인사동5길 25 하나로빌딩 지하1층,4.0,12
청계천휴,호프 | 요리주점,서울 종로구 청계천로 71 계원빌딩 1층,2.7,48
하이디라오 대학로점,아시아음식,서울 종로구 대학로 146 3층,3.9,130
부암동스코프,제과 | 베이커리,서울 종로구 창의문로 149 1층,4.0,81
종로찌개마을,찌개 | 전골,서울 종로구 삼일대로30길 10-4,3.2,181
남대문막내회집 광교점,회,서울 종로구 우정국로 4-1,3.9,49
한일관 광화문점,한정식,서울 종로구 종로1길 50 더케이트윈타워 A동 지하1층,3.2,21
묘미,한정식,서울 종로구 율곡로 83 5층,1.1,94
도토리브라더스,일식,서울 종로구 경희궁길 41 1층,3.5,409
뚝배기집,찌개 | 전골,서울 종로구 종로16길 12,4.2,199
부빙,디저트카페,서울 종로구 창의문로 136,4.0,209
뽐모도로,이탈리안,서울 종로구 새문안로9길 19-1 일선빌딩 1층,3.4,121
종로도담,한식,서울 종로구 삼봉로 78 1 2층,,187
프리모바치오바치 대학로점,이탈리안,서울 종로구 대학로10길 5 2층,3.9,112
슬로우파크,카페,서울 종로구 삼청로 141 1층,4.2,102
VIP참치 종로점,참치회,서울 종로구 삼일대로15길 25 2층,4.3,51
소선재,한정식,서울 종로구 삼청로 113-1,2.5,46
아지오,이탈리안,서울 종로구 인사동11길 23,3.1,228
후니도니,돈까스 | 우동,서울 종로구 종로 19 르메이르종로타운 지하1층,4.5,211
석파랑,한정식,서울 종로구 자하문로 309,2.8,56
반쥴,커피전문점,서울 종로구 삼일대로17길 23 3~5층,4.1,55
김진목삼,삼겹살,서울 종로구 자하문로1길 51 1층,4.6,158
대성식당,한식,서울 종로구 종로26길 14-3,3.7,311
카페이마,카페,서울 종로구 세종대로 152 일민미술관 1층,3.3,157
깔리,인도음식,서울 종로구 대학로11길 43 2층,4.2,198
광주집,육류 | 고기,서울 종로구 돈화문로11나길 3,2.2,149
대장장이화덕피자,피자,서울 종로구 북촌로 42-4,3.8,160
흥부가,족발 | 보쌈,서울 종로구 수표로20길 22,4.1,241
진짜파스타,이탈리안,서울 마포구 와우산로 64 전원빌딩 2층 202호,4.6,67
감성타코 홍대점,멕시칸 | 브라질,서울 마포구 와우산로21길 20-11 2층,3.3,249
피오니 홍대점,카페,서울 마포구 독막로7길 51 1층,3.8,499
우와 홍대본점,철판요리,서울 마포구 와우산로21길 21-16 202호,3.4,137
테이스티버거,햄버거,서울 마포구 독막로 67-11 행운빌딩 1층,3.5,266
오츠커피 마포점,커피전문점,서울 마포구 독막로14길 32 지하 1층,4.6,323
칸다소바 홍대점,일본식라면,서울 마포구 와우산로 51-6,4.2,123
943킹스크로스,카페,서울 마포구 양화로16길 24 지하1층  1~4층,4.0,293
여우골 홍대점,초밥 | 롤,서울 마포구 와우산로19길 9,4.0,106
테일러커피 서교점,커피전문점,서울 마포구 와우산로27길 7 2층,4.3,134
조선시대,한식,서울 마포구 홍익로3길 44 지하1층,3.8,117
정돈,돈까스 | 우동,서울 마포구 어울마당로 46 1층,4.4,149
맛이차이나,중국요리,서울 마포구 독막로 68 2층,3.5,135
마녀주방 홍대점,양식,서울 마포구 와우산로21길 36-10 1  2층,4.0,188
카미야,돈까스 | 우동,서울 마포구 와우산로21길 28-6 지하1층,4.3,179
또보겠지떡볶이집 깐따삐아점,떡볶이,서울 마포구 와우산로21길 28-12,3.8,138
지로우라멘,일본식라면,서울 마포구 와우산로29가길 79,4.0,177
땡스네이쳐,카페,서울 마포구 홍익로 10 푸르지오상가 지하1층 121호,4.3,74
콜린,테마카페,서울 마포구 어울마당로 45 1  2층,3.9,268
비스트로사랑방,이탈리안,서울 마포구 와우산로15길 40,3.9,180
공감 홍대2호점,일본식주점,서울 마포구 와우산로17길 10 2층,3.9,6
냉장고,육류 | 고기,서울 마포구 와우산로 23 규민빌딩 1층 102호,4.9,59
버터밀크,카페,서울 마포구 와우산로 130 1층,4.0,133
가미우동,돈까스 | 우동,서울 마포구 홍익로2길 23 1층 2호,4.3,246
하카타분코,일본식라면,서울 마포구 독막로19길 43 1층,3.0,227
강강술래 홍대점,한식,서울 마포구 잔다리로6길 25 1 2층,3.6,14
프리모바치오바치 홍대본점,이탈리안,서울 마포구 와우산로23길 44 2 3층,3.7,210
비스트로주라,양식,서울 마포구 와우산로23길 18-7 1층,4.4,175
톤앤매너,카페,서울 마포구 와우산로29가길 13 1층,4.4,31
이치류 홍대본점,육류 | 고기,서울 마포구 잔다리로3안길 44,4.3,157
산더미불고기,불고기 | 두루치기,서울 마포구 어울마당로 47,2.6,305
어반플랜트 합정,카페,서울 마포구 독막로4길 3 1~3층,4.2,690
개화기요정,일본식주점,서울 마포구 독막로7길 22,2.3,106
김덕후의곱창조 홍대본점,곱창 | 막창,서울 마포구 와우산로 51-9 1  2층,,59
산울림1992,호프 | 요리주점,서울 마포구 서강로9길 60,3.7,219
아오이토리,제과 | 베이커리,서울 마포구 와우산로29길 8,3.8,237
하이디라오 홍대지점,중국요리,서울 마포구 양화로 176 와이즈파크 5층,4.1,262
경주식당,육류 | 고기,서울 마포구 와우산로13길 49-7,3.8,214
이츠모라멘,일본식라면,서울 마포구 와우산로23길 18-7 2층 202호,4.0,128
오레노라멘 합정본점,일본식라면,서울 마포구 독막로6길 14,4.4,562
히어로보드게임카페 홍대1호점,보드카페,서울 마포구 와우산로21길 31-10 2층,4.5,81
홍대조폭떡볶이,떡볶이,서울 마포구 어울마당로 60 반석빌딩 1층,2.9,117
소코아 홍대점,일식,서울 마포구 와우산로15길 49 1층,4.5,100
이빠네마그릴 홍대점,멕시칸 | 브라질,서울 마포구 홍익로 7 소망빌딩 지하1층,4.2,423
멘야산다이메 홍대점,일본식라면,서울 마포구 홍익로5안길 24,3.5,104
예티,인도음식,서울 마포구 와우산로18길 20,4.2,47
마시타야,일본식라면,서울 마포구 와우산로29라길 26,4.0,124
초마 홍대본점,중국요리,서울 마포구 와우산로 72 2층,3.9,12
라멘트럭 상수본점,일본식라면,서울 마포구 독막로14길 31 1층,3.6,78
서울이스케이프룸 홍대2호점,테마카페,서울 마포구 와우산로17길 11 코스모스빌딩 3층,3.0,88
아웃닭 홍대점,치킨,서울 마포구 와우산로17길 19,3.5,72
하하&김종국의 401정육식당 홍대본점,,서울 마포구 잔다리로 23 1층,2.3,25
더피자보이즈,피자,서울 마포구 독막로9길 6 2층,4.1,104
제비다방,다방,서울 마포구 와우산로 24,4.3,67
더담,한정식,서울 마포구 와우산로29길 44 2층 201호,3.5,45
황곱 홍대점,곱창 | 막창,서울 마포구 어울마당로 149 1층,4.8,187
피자네버슬립스 합정본점,피자,서울 마포구 양화로6길 73 4  5층,4.0,353
ESC방탈출카페 홍대점,테마카페,서울 마포구 와우산로21길 19-16 지하2층,2.2,5
허밍벨라,카페,서울 마포구 독막로7길 57,3.5,159
바다회사랑 2호점,회,서울 마포구 동교로 143 1 2층,3.4,549
스케줄 합정,양식,서울 마포구 양화로6길 33 1층,3.8,889
혼가츠,돈까스 | 우동,서울 마포구 와우산로21길 36-6 102호,2.9,220
르쁘띠푸 홍대본점,디저트카페,서울 마포구 와우산로 62 삼애빌딩 2층,3.8,193
짬뽕지존 홍대점,중국요리,서울 마포구 어울마당로 44-1 보리수빌딩 1층,3.4,90
돈주는남자 본점,육류 | 고기,서울 마포구 잔다리로6길 34-9,3.4,116
스탠스커피,카페,서울 마포구 와우산로11길 9 1층 101호,4.3,157
미어캣프랜즈,테마카페,서울 마포구 와우산로21길 20 예원빌딩 3층,1.8,62
또보겠지떡볶이집 스마일보이점,떡볶이,서울 마포구 와우산로29길 14-8 2층,3.6,130
산리오러버스클럽,카페,서울 마포구 와우산로19길 18 가동 1 2층,4.0,352
더피자보이즈 홍대입구역점,피자,서울 마포구 와우산로29마길 24-1 1층,3.9,152
38도씨식당,호프 | 요리주점,서울 마포구 와우산로17길 19-17 2층,3.6,154
온블랙94,스테이크 | 립,서울 마포구 와우산로 39-14,3.8,66
또보겠지떡볶이집 호호시스터점,떡볶이,서울 마포구 양화로6길 45 2층,4.1,287
츠케루,일본식라면,서울 마포구 와우산로23길 9,4.6,159
철길왕갈비살,갈비,서울 마포구 와우산로32길 24,3.2,131
오리지널시카고피자 홍대본점,피자,서울 마포구 독막로7길 51 3 4층,4.0,158
어메이징농카이,태국음식,서울 마포구 동교로 156-11 1층,3.7,216
카레시,퓨전일식,서울 마포구 독막로9길 31,3.4,211
서강8경,양식,서울 마포구 토정로 128 8층,3.3,74
앤트러사이트 합정점,커피전문점,서울 마포구 토정로5길 10,3.5,242
후라토식당 상수직영점,돈까스 | 우동,서울 마포구 독막로15길 3-14,4.0,124
고기꾼김춘배,육류 | 고기,서울 마포구 홍익로3길 36 3 4층,3.9,43
부산집 홍대본점,일본식주점,서울 마포구 와우산로38길 4,4.4,123
자세,칵테일바,서울 마포구 와우산로19길 6-11,3.3,7
카페 지금여기,카페,서울 마포구 양화로16길 30-5 3층,4.0,37
스아게K,일식,서울 마포구 와우산로29라길 7,4.1,176
꼼보포차 홍대2호점,실내포장마차,서울 마포구 와우산로17길 19,3.2,25
무신사테라스,카페,서울 마포구 양화로 188 AK&홍대 17층,3.4,391
은행골 홍대점,초밥 | 롤,서울 마포구 와우산로15길 34,3.4,85
합정광안리,회,서울 마포구 독막로3길 38 1층,4.0,165
만만코코로 홍대점,호프 | 요리주점,서울 마포구 양화로16길 34 2  3층,1.4,34
빠넬로,양식,서울 마포구 어울마당로5길 29 1층,3.7,163
삼거리포차,실내포장마차,서울 마포구 와우산로 70,2.3,1
구공탄곱창 본점,곱창 | 막창,서울 마포구 양화로6길 77 1층,3.9,84
싸인이스케이프 홍대점,테마카페,서울 마포구 와우산로 65 6층,4.8,144
더페이머스버거 홍대점,햄버거,서울 마포구 잔다리로3안길 24 1층,3.1,170
효봉포차,실내포장마차,서울 마포구 와우산로18길 12,4.4,37
홍스쭈꾸미 홍대본점,해물 | 생선,서울 마포구 어울마당로 146,3.7,270
재미난조각가 홍대점,사주카페,서울 마포구 와우산로21길 24 2층,3.1,56
왔쏘 홍대점,고기뷔페,서울 마포구 독막로7길 20,4.7,21
괴르츠,양식,서울 마포구 토정로 136-13 우성빌딩 7층,3.2,198
포차끝판왕,실내포장마차,서울 마포구 잔다리로 3 5층,2.0,8
구스토타코,멕시칸 | 브라질,서울 마포구 와우산로 41,3.7,96
윤씨밀방,양식,서울 마포구 와우산로15길 15 지하1층,3.8,200
부탄츄 홍대점,일본식라면,서울 마포구 와우산로35길 75 1층,2.6,149
집사의하루 홍대점,고양이카페,서울 마포구 와우산로21길 19-8 태경빌딩 2층,4.6,40
델리인디아,인도음식,서울 마포구 독막로9길 8 2층,4.5,148
홍대인파스타,이탈리안,서울 마포구 홍익로5안길 32 홍대가자2빌딩 103호,4.1,147
앵춘,술집,서울 마포구 독막로 81 1층,4.1,225
비스트로큐슈,퓨전일식,서울 마포구 와우산로 150-2 2층 (대로변에서 봤을때 2층  정면 1층),,109
와인로그,와인바,서울 마포구 와우산로21길 36-8 2 3층,3.5,47
웃사브,인도음식,서울 마포구 와우산로11길 10,3.6,89
달콤한거짓말,디저트카페,서울 마포구 독막로 61-4,4.1,188
심양 홍대점,양꼬치,서울 마포구 독막로9길 43,3.7,59
코노미 홍대점,일본식주점,서울 마포구 잔다리로6길 28,3.5,65
홍대개미 홍대점,퓨전일식,서울 마포구 독막로 67-9 엘렌아뜨리움 2 3층,2.4,47
멜로우,테마카페,서울 마포구 잔다리로 30-11 1층,4.2,20
로쏘1924,피자,서울 마포구 홍익로 29 1층,3.8,642
그동네떡볶이 홍대점,떡볶이,서울 마포구 와우산로27길 14 104호,,185
백년토종삼계탕 본점,삼계탕,서울 마포구 양화로 118,3.7,31
우동카덴 합정점,돈까스 | 우동,서울 마포구 양화로7안길 2-1 1 2층,3.1,152
철인7호치킨 홍대점,치킨,서울 마포구 양화로6길 99-3 반지하,5.0,64
민트하임,디저트카페,서울 마포구 잔다리로6길 28,3.8,103
스미비부타동,일식,서울 마포구 와우산로13길 19 1층,,398
1984,북카페,서울 마포구 동교로 194 혜원빌딩 1층,3.5,460
루프탑어반비치,와인바,서울 마포구 독막로9길 38 DE빌딩 6층,,77
21세기 우리바다수산,회,서울 마포구 동교로 173,2.5,74
