,가게이름,카테고리,위치,평점,리뷰수,위도,경도
266,미락치킨 경복궁본점,치킨,서울 종로구 자하문로 17-1,3.3,104,37.5775919,126.9718766
267,로코랩,카페,서울 종로구 율곡로4길 51,4.2,109,37.5733179,126.9812906
268,블루보틀 삼청 한옥,커피전문점,서울 종로구 삼청로2길 40-3,3.4,114,37.580071,126.9809609
269,국빈관,육류 | 고기,서울 종로구 자하문로2길 17-4,3.6,33,37.5765897,126.9738104
270,런던베이글뮤지엄 안국점,제과 | 베이커리,서울 종로구 북촌로4길 20 연화빌딩 1층,3.2,2607,37.5791432,126.9862176
271,개성만두 궁,한식,서울 종로구 인사동10길 11-3,2.9,211,37.57423,126.9853967
272,백년토종삼계탕 북촌점,삼계탕,서울 종로구 북촌로 41,2.6,30,37.5805745,126.9847026
273,금용문,중국요리,서울 종로구 새문안로5가길 7 세종클럽 2층,3.6,111,37.57274049999999,126.9740251
274,월영당 서울,커피전문점,서울 종로구 북촌로5길 62,3.7,157,37.57989930000001,126.9816244
275,더레스토랑,이탈리안,서울 종로구 삼청로 54,3.5,27,37.5806294,126.9806125
276,히타토제면소,돈까스 | 우동,서울 종로구 자하문로7길 12 1층,3.5,92,37.5784167,126.971092
277,오목집 광화문점,족발 | 보쌈,서울 종로구 삼봉로 98 1 2층,3.8,67,37.5718251,126.9825641
278,키즈나,초밥 | 롤,서울 종로구 율곡로1길 78 1층,4.4,131,37.5787585,126.9816196
279,할매집,감자탕,서울 종로구 사직로12길 1-5,2.5,141,37.5756335,126.9714088
280,경복궁박광일참치,참치회,서울 종로구 자하문로 26-1,3.7,92,37.5783759,126.9719892
281,청국장밥 삼청동점,한식,서울 종로구 삼청로2길 29-5,3.2,20,37.5804966,126.9816163
282,마산해물아구찜,해물 | 생선,서울 종로구 북촌로5길 6 2층,3.3,22,37.5794518,126.9845888
283,알로이막막,동남아음식,서울 종로구 자하문로7길 30,2.6,277,37.5790112,126.9705517
284,폴앤폴리나 광화문점,제과 | 베이커리,서울 종로구 사직로8길 42 광화문시대 1층,4.4,54,37.5737408,126.9731114
285,김용현 베이커리,제과 | 베이커리,서울 종로구 자하문로 21 1층,4.2,131,37.5779516,126.9715909
286,고치비,이탈리안,서울 종로구 필운대로 38 1층,3.5,236,37.5792987,126.9689107
287,힐사이드테이블,양식,서울 종로구 경희궁2길 7 1층,3.6,427,37.572829,126.9709459
288,널담은공간 경복궁점,카페,서울 종로구 삼청로 24 1~3층,3.6,154,37.5779817,126.9799319
289,봉피양 경복궁점,갈비,서울 종로구 자하문로 20,2.5,23,37.57786310000001,126.9722861
290,헤르만의정원,카페,서울 종로구 자하문로7길 62,3.7,138,37.5800173,126.9692766
291,나주소나주곰탕 경복궁점,곰탕,서울 종로구 자하문로2길 8 1층,3.2,35,37.576368,126.9730889
292,곰솔,한정식,서울 종로구 자하문로8길 9,4.3,0,37.57872990000001,126.9720862
293,종로도담,한식,서울 종로구 삼봉로 78 1 2층,,186,37.57205810000001,126.9814787
294,까델루뽀,이탈리안,서울 종로구 자하문로16길 5-5,3.9,37,37.5817921,126.9714078
295,참,칵테일바,서울 종로구 자하문로7길 34,4.7,8,37.5791322,126.97037
296,The 94,양식,서울 종로구 자하문로10길 10-32,4.5,8,37.57891619999999,126.9719489
297,진가와 광화문점,일식집,서울 종로구 종로1길 50 더케이트윈타워 지하1층 15호,3.1,94,37.574638,126.979181
298,백미당 삼청점,아이스크림,서울 종로구 삼청로 48,1.8,83,37.5800908,126.9802258
299,감성타코 광화문점,멕시칸 | 브라질,서울 종로구 새문안로3길 23 경희궁의아침4단지 지하1층 B201호,3.1,131,37.5722444,126.9722071
303,커피브론즈,커피전문점,서울 종로구 율곡로5길 20 1층,4.5,123,37.5770463,126.9848388
306,안국153,제과 | 베이커리,서울 종로구 율곡로 51 1층,2.9,101,37.5764766,126.98491
307,티테라피 행랑점,카페,서울 종로구 윤보선길 74 1층,4.6,29,37.5791336,126.9835289
308,동백식당,국밥,서울 종로구 윤보선길 10,4.2,56,37.5779108,126.9835156
309,카페이드라,카페,서울 종로구 윤보선길 18 1층,4.8,28,37.5768919,126.9841673
310,이화돈까스,돈까스 | 우동,서울 종로구 율곡로 49-4 사비나미술관 지하1층,3.8,44,37.5764844,126.9845555
311,별궁식당,찌개 | 전골,서울 종로구 윤보선길 19-16,3.0,23,37.5772257,126.9835888
312,산체스막걸리,술집,서울 종로구 윤보선길 26 지하1층,3.8,55,37.5771512,126.9840427
313,북촌연잎밥,한정식,서울 종로구 율곡로5길 12,4.1,7,37.5770802,126.9851146
314,카페수달,카페,서울 종로구 율곡로 49-14 1층,4.0,188,37.5766275,126.9844313
315,카페포엠 안국역점,카페,서울 종로구 북촌로5길 19-4,3.4,17,37.57920670000001,126.9838641
316,소온테이블,이탈리안,서울 종로구 윤보선길 26,3.7,16,37.5771512,126.9840427
317,커피빈 안국역점,커피전문점,서울 종로구 율곡로 47 1  2층,4.2,8,37.5762989,126.9845773
318,벽오동,한정식,서울 종로구 율곡로3길 74-10,1.6,11,37.5787386,126.9824474
319,온6.5,한식,서울 종로구 북촌로1길 28 1층,3.4,94,37.5773407,126.9842767
320,지유가오카핫초메 삼청점,카페,서울 종로구 윤보선길 46,3.9,75,37.57805980000001,126.983668
321,공간,칵테일바,서울 종로구 율곡로3길 66-4 1층,4.5,77,37.5785123,126.9823282
322,냐향in안국,베트남음식,서울 종로구 윤보선길 34-1 1층,4.4,98,37.57751530000001,126.9838441
323,맥주다방호시절,호프 | 요리주점,서울 종로구 윤보선길 10,3.3,6,37.5779108,126.9835156
324,종로삼대복집,복어,서울 종로구 북촌로1길 11,4.2,2,37.5772191,126.985124
325,로마네꽁띠,와인바,서울 종로구 북촌로1길 30-20,5.0,3,37.57782030000001,126.9843121
326,마나님레시피,한식,서울 종로구 윤보선길 65,2.7,13,37.5788089,126.9830782
327,공공재커피클럽,카페,서울 종로구 윤보선길 35 1층 102호,5.0,46,37.5775227,126.983655
328,코피발리 안국점,커피전문점,서울 종로구 율곡로5길 19 1~2층,4.4,26,37.5712765,126.9802872
329,콤포타블 안국,카페,서울 종로구 윤보선길 16-1 1층,4.6,85,37.5768002,126.9841867
330,아트마,카페,서울 종로구 율곡로 49-16 1층,4.6,47,37.5767519,126.9843379
331,이화가,한정식,서울 종로구 북촌로1길 28,3.5,4,37.5773407,126.9842767
332,베커린,제과 | 베이커리,서울 종로구 윤보선길 20,4.8,12,37.57691130000001,126.9841172
333,행복한베이커리&카페 안국점,제과 | 베이커리,서울 종로구 윤보선길 17,5.0,0,37.5779108,126.9835156
334,이태리탁,와인바,서울 종로구 율곡로5길 24 1층 한옥,3.3,5,37.5770867,126.9846062
335,보이차전문점 명가원,전통찻집,서울 종로구 윤보선길 19-18 1층,0.0,3,37.5773316,126.9835364
336,보뜨,테마카페,서울 종로구 윤보선길 28 1층 2호,5.0,25,37.5773064,126.9839624
337,삼방매,일본식라면,서울 종로구 율곡로5길 3-11 1층,3.7,96,37.5765347,126.9846409
338,언코르크드,와인바,서울 종로구 율곡로 55 지하1층,4.6,28,37.5766871,126.985395
339,북촌손만두 삼청동점,분식,서울 종로구 율곡로3길 66-2 1층,2.8,19,37.5785123,126.9823282
340,올넥스트 카페코나퀸즈,카페,서울 종로구 윤보선길 22,0.0,0,37.5769858,126.9840823
341,르콘토엘,제과 | 베이커리,서울 종로구 윤보선길 78 1층,5.0,16,37.5792366,126.983669
342,슈퍼커피 안국점,카페,서울 종로구 율곡로3길 64,0.0,1,37.578416,126.9822288
343,아재커피 삼청점,커피전문점,서울 종로구 윤보선길 10,0.0,2,37.5779108,126.9835156
344,두만강,순대,서울 종로구 율곡로 49-16,0.0,0,37.5767519,126.9843379
345,작은숲,갤러리카페,서울 종로구 윤보선길 20,0.0,0,37.57691130000001,126.9841172
346,한국이동갈비,갈비,서울 종로구 율곡로 49-16,0.0,0,37.5767519,126.9843379
347,황진이가마솥밥,한식,서울 종로구 율곡로5길 18-10,0.0,0,37.57714929999999,126.9849687
348,아반떼,술집,서울 종로구 율곡로 55,5.0,0,37.5766871,126.985395
349,할매쭈꾸미,해물 | 생선,서울 종로구 율곡로5길 6,0.0,0,37.5768182,126.9853457
350,진향당,전통찻집,서울 종로구 율곡로 49-16 1층,0.0,0,37.5767519,126.9843379
351,삼청동닭꼬치,분식,서울 종로구 율곡로3길 74-10 1층,0.0,0,37.5787386,126.9824474
352,비어셰프냐항,호프 | 요리주점,서울 종로구 윤보선길 10,0.0,0,37.5779108,126.9835156
353,해빛,카페,서울 종로구 율곡로 39 3층,0.0,0,37.576004,126.9838137
354,조스키친,음식점,서울 종로구 율곡로3길 74-6,5.0,0,37.5788041,126.9823095
355,남자만,한식,서울 종로구 율곡로 55,0.0,0,37.5766871,126.985395
356,은소보리밥,한식,서울 종로구 윤보선길 22,0.0,0,37.5769858,126.9840823
357,주식 회사복담 안국지점,커피전문점,서울 종로구 윤보선길 78,0.0,0,37.5792366,126.983669
358,안국교자,한식,서울 종로구 율곡로3길 74-10,0.0,0,37.5787386,126.9824474
368,랜디스도넛 안국점,도넛,서울 종로구 북촌로 3 1층,3.9,470,37.5771154,126.9856451
379,북촌김치재,한식,서울 종로구 북촌로2길 8,3.6,203,37.5777903,126.9861714
380,스타벅스 안국점,커피전문점,서울 종로구 북촌로 5-1,3.3,32,37.5773379,126.9856353
383,뉘조,한정식,서울 종로구 인사동14길 27,3.7,17,37.5751149,126.9851979
385,단상,퓨전한식,서울 종로구 북촌로2길 11,3.4,248,37.5779347,126.9864004
387,묵호횟집,회,서울 종로구 북촌로 1 지하 1층,4.1,23,37.5769968,126.9857859
388,북촌해물,해물 | 생선,서울 종로구 북촌로 25 1 2층,3.7,65,37.5790091,126.9849752
391,플러스84,베트남음식,서울 종로구 인사동16길 6 1층,4.0,108,37.5749804,126.9842227
392,플롭 안국점,피자,서울 종로구 북촌로2길 5 1층,3.3,451,37.5779038,126.9860623
395,57th카페,카페,서울 종로구 율곡로3길 17,3.4,9,37.5763863,126.9825836
397,촌 인사동본점,한정식,서울 종로구 인사동14길 19,2.2,21,37.5749195,126.9851043
398,갓잇 안국점,멕시칸 | 브라질,서울 종로구 북촌로2길 5-5 1층,4.3,153,37.5781469,126.9859311
399,땡스오트 안국,카페,서울 종로구 북촌로 21-10 1층,4.2,320,37.5787535,126.9845892
400,한옥찻집,전통찻집,서울 종로구 인사동12길 9,4.2,150,37.5745701,126.9848192
402,반타이,태국음식,서울 종로구 율곡로 65 2층,4.0,79,37.5771346,126.9864067
403,한가네불고기,불고기 | 두루치기,서울 종로구 인사동길 59,4.4,30,37.5751012,126.9833935
404,큰기와집,한식,서울 종로구 북촌로 20-7,3.1,219,37.5787144,126.9854921
405,도마 유즈라멘,일본식라면,서울 종로구 북촌로2길 14 1층,3.9,339,37.577791,126.9864601
406,푸른별주막,호프 | 요리주점,서울 종로구 인사동16길 19,3.8,28,37.5755269,126.9840726
407,제이네,양식,서울 종로구 율곡로1길 74-13 1층,4.2,74,37.5786892,126.9818322
408,삼청동호떡 본점,간식,서울 종로구 율곡로3길 82-6,3.5,64,37.57916230000001,126.9824733
410,여자만 관훈점본관,한식,서울 종로구 인사동14길 13,3.2,10,37.5749114,126.9848984
411,도토리가든 안국점,카페,서울 종로구 계동길 19-8 1층,2.6,273,37.5780669,126.9862696
412,재동맷돌순두부,두부전문점,서울 종로구 북촌로2길 6,3.9,18,37.5777568,126.9860462
413,향가,한정식,서울 종로구 계동길 19-6,3.5,12,37.5782402,126.9863057
415,팔오삼,육류 | 고기,서울 종로구 인사동12길 16 1층,4.0,143,37.5747067,126.9850902
416,간판없는 김치찌개집,찌개 | 전골,서울 종로구 인사동10길 23-14,4.1,123,37.5748033,126.9862629
417,로씨니,이탈리안,서울 종로구 북촌로 18,3.4,4,37.5783486,126.9858106
418,황금정,갈비,서울 종로구 북촌로 4,3.3,5,37.5773645,126.9861047
419,마음을담아내면,한식,서울 종로구 율곡로3길 79,3.6,114,37.5791389,126.9820559
420,니르바나,인도음식,서울 종로구 인사동길 58 202호,4.7,33,37.5751114,126.9837466
421,연남토마 북촌점,퓨전일식,서울 종로구 북촌로5길 39 1층,3.8,270,37.5792705,126.982687
422,한뫼촌,한식,서울 종로구 북촌로 24-4 1층,3.0,15,37.5789438,126.9855637
423,KOTTON SEOUL,카페,서울 종로구 인사동12길 17 1층,4.4,221,37.5747069,126.9849045
425,인사동양조장,한식,서울 종로구 율곡로 44-16 지층,4.8,30,37.57519449999999,126.9845006
426,소진담 안녕인사동점,디저트카페,서울 종로구 인사동길 49 5층 502호,3.6,175,37.5745213,126.9838508
427,누룩나무,호프 | 요리주점,서울 종로구 인사동16길 13,4.2,41,37.5752409,126.9841309
428,안암,국밥,서울 종로구 북촌로5길 10 1층,4.2,161,37.5794043,126.984414
429,달막달막,호프 | 요리주점,서울 종로구 인사동16길 11-1,4.1,45,37.5751789,126.9841566
430,헤비스테이크 안국역점,양식,서울 종로구 계동길 5 1층 3호,3.5,25,37.5773379,126.9863689
431,스토9,일본식주점,서울 종로구 인사동16길 19 1층,4.2,25,37.5755269,126.9840726
432,소소하게 삼청,카페,서울 종로구 율곡로1길 40-59 1층,4.3,21,37.5780671,126.9813754
433,일월카츠,돈까스 | 우동,서울 종로구 계동길 17,4.9,116,37.5780632,126.9865775
434,비원떡집,떡 | 한과,서울 종로구 북촌로 33-1 1층,3.9,11,37.5797459,126.9848497
435,선천,한정식,서울 종로구 인사동14길 5 2층,2.7,1,37.5749162,126.9844115
436,리틀버틀러,카페,서울 종로구 북촌로 8 1층,3.4,301,37.5775604,126.9859436
437,안국고다,설렁탕,서울 종로구 인사동14길 10,3.8,166,37.5746894,126.9846444
438,금옥당 인사점,간식,서울 종로구 인사동길 49 안녕인사동 1층,2.4,163,37.5745329,126.9834556
439,인사동수제비,수제비,서울 종로구 인사동8길 14-1,4.1,113,37.5740967,126.9860381
442,자작나무이야기,카페,서울 종로구 율곡로1길 74-15,3.7,57,37.5786342,126.9818307
443,배스킨라빈스 삼청마당점,아이스크림,서울 종로구 율곡로3길 74-1,3.4,166,37.5789225,126.9822445
444,프릳츠 원서점,디저트카페,서울 종로구 율곡로 83 1층,3.0,471,37.5775971,126.9884326
445,담장옆에 국화꽃 안녕인사동점,디저트카페,서울 종로구 인사동길 49 2층 6호,3.7,254,37.5745213,126.9838508
446,헝그리서울,호프 | 요리주점,서울 종로구 인사동16길 8-3 헝그리서울,4.1,28,37.575153,126.9843891
447,이채카페,카페,서울 종로구 북촌로 20-21,4.5,74,37.5786358,126.9858894
448,스미레돈카츠 안국점,돈까스 | 우동,서울 종로구 북촌로 14-1,4.2,38,37.5781401,126.9856697
449,토오베,카페,서울 종로구 인사동길 62-4 3층,,218,37.5753002,126.9836942
453,진옥화할매원조닭한마리 본점,닭요리,서울 종로구 종로40가길 18,3.4,687,37.5703353,127.0056842
455,온천집 익선,샤브샤브,서울 종로구 돈화문로11나길 31-8 1층,3.4,1018,37.5740217,126.9897964
456,핏제리아오,패밀리레스토랑,서울 종로구 동숭길 86 2  3층,4.6,296,37.5820433,127.0042774
459,부촌육회,육류 | 고기,서울 종로구 종로 200-12,4.4,98,37.5703442,126.9999108
466,계림 종로본점,닭요리,서울 종로구 돈화문로4길 39,3.6,170,37.5701315,126.9944914
467,오죽이네,닭요리,서울 종로구 돈화문로11가길 25,4.2,440,37.57374799999999,126.990759
469,정돈,돈까스 | 우동,서울 종로구 대학로9길 12 지하1층,3.8,168,37.581773,127.0010837
470,양연화로 종로직영점,육류 | 고기,서울 종로구 삼일대로17길 18 1 2층,4.3,214,37.5692044,126.9864882
471,대련집,국수,서울 종로구 종로16길 37,3.6,395,37.5684035,126.9890267
472,순희네빈대떡,한식,서울 종로구 종로32길 5,2.8,607,37.5705817,127.000708
473,우육면관 청계천점,중식,서울 종로구 청계천로 75-2,4.5,428,37.5685408,126.9861247
476,대성집,국밥,서울 종로구 사직로 5 1층,3.9,217,37.5726897,126.9609043
478,호호식당 대학로점,일식,서울 종로구 대학로9길 35 1층,3.2,373,37.5818595,127.0000195
479,육회자매집 본점1호점,육류 | 고기,서울 종로구 종로 200-4 1층,3.7,158,37.5705358,126.9998698
488,샤오바오우육면 본점,중국요리,서울 종로구 삼일대로17길 15 1층,3.8,525,37.5690451,126.9866115
489,산모퉁이,카페,서울 종로구 백석동길 153,3.2,239,37.5953909,126.9679537
491,장군굴보쌈,족발 | 보쌈,서울 종로구 수표로20길 22,3.3,170,37.5698223,126.9907769
493,참치공방 종각본점,참치회,서울 종로구 종로9길 8 1층,3.3,133,37.5707078,126.9843419
494,백제정육점,육류 | 고기,서울 종로구 종로35길 34,3.5,306,37.572614,127.0039694
495,영춘옥,곰탕,서울 종로구 돈화문로5가길 13,3.0,167,37.5713198,126.9915129
496,양반댁,한정식,서울 종로구 인사동길 19-18,1.9,148,37.5722378,126.9859252
499,잘빠진메밀 익선동점,국수,서울 종로구 율곡로8길 73 1층,3.7,248,37.573992,126.9914768
500,학림다방,카페,서울 종로구 대학로 119 2층,4.2,148,37.5818924,127.0016664
501,혜화칼국수,국수,서울 종로구 창경궁로35길 13,3.2,275,37.586514,127.0014858
504,찬양집,국수,서울 종로구 돈화문로11다길 5,3.3,260,37.5727526,126.990263
505,자하손만두,한식,서울 종로구 백석동길 12,2.9,323,37.5930963,126.9660366
507,갓덴스시 종로점,초밥 | 롤,서울 종로구 종로12길 14,3.6,244,37.5694101,126.9855719
508,순대실록 대학로본점,순대,서울 종로구 동숭길 127 우성빌딩 2층,4.6,186,37.5832367,127.0030501
509,평양고깃집,육류 | 고기,서울 종로구 인사동5길 14 2층,4.5,106,37.5727312,126.9853559
510,광장시장통큰누이네육회빈대떡,한식,서울 종로구 동호로 403-24 1 2층,4.3,276,37.5704134,127.0011619
511,암소서울,한식,서울 종로구 새문안로 76 금호아시아나본관 지하1층,3.6,629,37.5697569,126.973165
512,유진식당,냉면,서울 종로구 종로17길 40,3.5,197,37.5719638,126.9883198
513,에베레스트 레스토랑 동대문점,인도음식,서울 종로구 종로51가길 2-1 2층,4.3,275,37.5725333,127.0124869
518,혜화도담,한식,서울 종로구 대명1길 16-6 1층,,149,37.5829595,127.0004271
519,나누미떡볶이 성대본점,떡볶이,서울 종로구 성균관로 9-1,3.1,397,37.5836794,126.9978756
521,시민식당,육류 | 고기,서울 종로구 돈화문로5길 30,3.3,101,37.5707191,126.9903923
522,동묘집,해물 | 생선,서울 종로구 종로52길 43-9,4.0,155,37.5716649,127.0147703
523,엄용백돼지국밥 종각점,국밥,서울 종로구 인사동3길 20,3.5,342,37.5718312,126.9857915
529,평원숯불갈비,갈비,서울 종로구 종로39길 29,3.9,158,37.5721121,127.0052508
530,칸다소바 혜화점,일본식라면,서울 종로구 대학로 131-1 1층,3.9,120,37.58285559999999,127.0013557
531,청수당,카페,서울 종로구 돈화문로11나길 31-9,3.6,928,37.573854,126.9897795
532,계열사,치킨,서울 종로구 백석동길 7 1층,,322,37.5928384,126.9655941
533,원조원할매소문난닭한마리,닭요리,서울 종로구 종로40가길 25,3.3,161,37.5702439,127.0053062
534,해천어부,일식,서울 종로구 수표로28길 11 1층 103호,3.9,206,37.5728962,126.9891517
535,살롱순라,이탈리안,서울 종로구 율곡로10길 75,3.8,263,37.5741135,126.9916699
536,부산회집,회,서울 종로구 돈화문로4길 38,4.0,32,37.5699829,126.9943892
537,이경문순대곱창,순대,서울 종로구 돈화문로11나길 5,3.8,378,37.573052,126.9908261
538,촌놈,삼겹살,서울 종로구 대학로8가길 48 연경빌딩 2층,4.1,198,37.5828996,127.0024036
540,이층양옥,이탈리안,서울 종로구 돈화문로11나길 28 1 2층,4.1,250,37.5739733,126.990345
541,아델라베일리,이탈리안,서울 종로구 북악산로 48,3.3,177,37.5951289,126.9701451
544,개뿔,갤러리카페,서울 종로구 낙산성곽서1길 26 1 2층,4.0,212,37.5781392,127.0080326
545,포비브라이트 광화문점,카페,서울 종로구 새문안로 76 1층,4.2,252,37.5697569,126.973165
547,평창동북악정,한식,서울 종로구 평창36길 6,3.8,59,37.61129469999999,126.9777521
548,천하보쌈,족발 | 보쌈,서울 종로구 창덕궁1길 8 천하보쌈,4.2,193,37.5794173,126.9888167
549,버거파크 혜화점,햄버거,서울 종로구 대학로11길 5 1층,4.4,457,37.5821259,127.0013632
553,육회자매집 종로3호점,육류 | 고기,서울 종로구 종로 208 1 2층 201 203 204호,4.2,249,37.5706522,127.0008463
555,호반,한식,서울 종로구 삼일대로26길 20 1층,4.0,118,37.5732637,126.9891286
557,창화당 익선동점,분식,서울 종로구 수표로28길 23,3.4,245,37.5729794,126.9898094
558,은성회집,회,서울 종로구 창경궁로 88 광장시장 45-1호,3.3,189,37.5700398,126.9996036
559,원조누드김밥,분식,서울 종로구 창경궁로 88 광장시장 41호,3.8,345,37.5700398,126.9996036
560,명동닭한마리 본점,닭요리,서울 종로구 종로40가길 14,4.1,136,37.5703116,127.0058656
564,편안한집,한정식,서울 종로구 북촌로 133,3.6,32,37.5872851,126.9833014
565,하림각,중식,서울 종로구 자하문로 255 1층,3.2,30,37.59702559999999,126.9625363
566,종로설렁탕,설렁탕,서울 종로구 종로 110,2.7,60,37.5699521,126.9897314
567,더키친750,양식,서울 종로구 대학로8가길 80 2층,4.1,96,37.5824518,127.0032519
569,공평동꼼장어 본점,장어,서울 종로구 우정국로 29,3.4,152,37.5716752,126.9828367
570,창신동매운족발 본점,족발 | 보쌈,서울 종로구 종로51길 23,3.7,153,37.572955,127.0115145
571,빠리가옥,양식,서울 종로구 수표로28길 33-4,,339,37.5732578,126.990229
572,하나로회관,한정식,서울 종로구 인사동5길 25 하나로빌딩 지하1층,4.0,12,37.5720602,126.9853831
573,청계천휴,호프 | 요리주점,서울 종로구 청계천로 71 계원빌딩 1층,2.7,48,37.56878469999999,126.9854965
574,하이디라오 대학로점,아시아음식,서울 종로구 대학로 146 3층,3.9,130,37.5842128,127.0020237
575,부암동스코프,제과 | 베이커리,서울 종로구 창의문로 149 1층,4.0,81,37.5931072,126.9635827
576,종로찌개마을,찌개 | 전골,서울 종로구 삼일대로30길 10-4,3.2,181,37.5736064,126.9883292
577,남대문막내회집 광교점,회,서울 종로구 우정국로 4-1,3.9,49,37.5691515,126.9832718
579,묘미,한정식,서울 종로구 율곡로 83 5층,1.1,94,37.5775971,126.9884326
580,도토리브라더스,일식,서울 종로구 경희궁길 41 1층,3.5,409,37.57288090000001,126.9692516
581,뚝배기집,찌개 | 전골,서울 종로구 종로16길 12,4.2,199,37.5695341,126.9884726
582,부빙,디저트카페,서울 종로구 창의문로 136,4.0,209,37.5927213,126.965393
583,뽐모도로,이탈리안,서울 종로구 새문안로9길 19-1 일선빌딩 1층,3.4,121,37.5710898,126.9756919
585,프리모바치오바치 대학로점,이탈리안,서울 종로구 대학로10길 5 2층,3.9,112,37.5818197,127.0025595
586,슬로우파크,카페,서울 종로구 삼청로 141 1층,4.2,102,37.5878712,126.9814762
587,VIP참치 종로점,참치회,서울 종로구 삼일대로15길 25 2층,4.3,51,37.568706,126.9860568
590,후니도니,돈까스 | 우동,서울 종로구 종로 19 르메이르종로타운 지하1층,4.5,211,37.5709593,126.9798759
591,석파랑,한정식,서울 종로구 자하문로 309,2.8,56,37.5991812,126.958681
592,반쥴,커피전문점,서울 종로구 삼일대로17길 23 3~5층,4.1,55,37.5690287,126.9861713
594,대성식당,한식,서울 종로구 종로26길 14-3,3.7,311,37.5696314,126.9946962
595,카페이마,카페,서울 종로구 세종대로 152 일민미술관 1층,3.3,157,37.5698318,126.9776433
596,깔리,인도음식,서울 종로구 대학로11길 43 2층,4.2,198,37.58243400000001,126.9992272
597,광주집,육류 | 고기,서울 종로구 돈화문로11나길 3,2.2,149,37.5729705,126.9908827
599,흥부가,족발 | 보쌈,서울 종로구 수표로20길 22,4.1,241,37.5698223,126.9907769
600,진짜파스타,이탈리안,서울 마포구 와우산로 64 전원빌딩 2층 202호,4.6,67,37.5502303,126.9232531
601,감성타코 홍대점,멕시칸 | 브라질,서울 마포구 와우산로21길 20-11 2층,3.3,249,37.5527691,126.9226429
602,피오니 홍대점,카페,서울 마포구 독막로7길 51 1층,3.8,499,37.5500682,126.9197235
603,우와 홍대본점,철판요리,서울 마포구 와우산로21길 21-16 202호,3.4,137,37.5516364,126.9221386
604,테이스티버거,햄버거,서울 마포구 독막로 67-11 행운빌딩 1층,3.5,266,37.5469402,126.9231218
605,오츠커피 마포점,커피전문점,서울 마포구 독막로14길 32 지하 1층,4.6,323,37.547439,126.9218632
606,칸다소바 홍대점,일본식라면,서울 마포구 와우산로 51-6,4.2,123,37.5492454,126.9226642
607,943킹스크로스,카페,서울 마포구 양화로16길 24 지하1층  1~4층,4.0,293,37.5529341,126.9207822
608,여우골 홍대점,초밥 | 롤,서울 마포구 와우산로19길 9,4.0,106,37.5511057,126.9226363
609,테일러커피 서교점,커피전문점,서울 마포구 와우산로27길 7 2층,4.3,134,37.5537662,126.9276536
610,조선시대,한식,서울 마포구 홍익로3길 44 지하1층,3.8,117,37.5525739,126.9213963
612,맛이차이나,중국요리,서울 마포구 독막로 68 2층,3.5,135,37.5475555,126.9208439
613,마녀주방 홍대점,양식,서울 마포구 와우산로21길 36-10 1  2층,4.0,188,37.55282270000001,126.9221012
614,카미야,돈까스 | 우동,서울 마포구 와우산로21길 28-6 지하1층,4.3,179,37.5525448,126.922353
615,또보겠지떡볶이집 깐따삐아점,떡볶이,서울 마포구 와우산로21길 28-12,3.8,138,37.552771,126.9224562
616,지로우라멘,일본식라면,서울 마포구 와우산로29가길 79,4.0,177,37.5536541,126.9251381
617,땡스네이쳐,카페,서울 마포구 홍익로 10 푸르지오상가 지하1층 121호,4.3,74,37.553716,126.9236241
618,콜린,테마카페,서울 마포구 어울마당로 45 1  2층,3.9,268,37.549296,126.9205122
619,비스트로사랑방,이탈리안,서울 마포구 와우산로15길 40,3.9,180,37.5489685,126.9211551
620,공감 홍대2호점,일본식주점,서울 마포구 와우산로17길 10 2층,3.9,6,37.5502563,126.9224686
621,냉장고,육류 | 고기,서울 마포구 와우산로 23 규민빌딩 1층 102호,4.9,59,37.5469402,126.9231218
622,버터밀크,카페,서울 마포구 와우산로 130 1층,4.0,133,37.55334,126.9279483
623,가미우동,돈까스 | 우동,서울 마포구 홍익로2길 23 1층 2호,4.3,246,37.5546352,126.9238384
624,하카타분코,일본식라면,서울 마포구 독막로19길 43 1층,3.0,227,37.5488759,126.9237503
625,강강술래 홍대점,한식,서울 마포구 잔다리로6길 25 1 2층,3.6,14,37.5523355,126.9205441
626,프리모바치오바치 홍대본점,이탈리안,서울 마포구 와우산로23길 44 2 3층,3.7,210,37.5547481,126.9236715
627,비스트로주라,양식,서울 마포구 와우산로23길 18-7 1층,4.4,175,37.553961,126.9245962
628,톤앤매너,카페,서울 마포구 와우산로29가길 13 1층,4.4,31,37.554225,126.9286678
629,이치류 홍대본점,육류 | 고기,서울 마포구 잔다리로3안길 44,4.3,157,37.550616,126.9191339
630,산더미불고기,불고기 | 두루치기,서울 마포구 어울마당로 47,2.6,305,37.5494218,126.920576
631,어반플랜트 합정,카페,서울 마포구 독막로4길 3 1~3층,4.2,690,37.5478524,126.9171527
632,개화기요정,일본식주점,서울 마포구 독막로7길 22,2.3,106,37.5487566,126.9192694
633,김덕후의곱창조 홍대본점,곱창 | 막창,서울 마포구 와우산로 51-9 1  2층,,59,37.5491775,126.9224411
634,산울림1992,호프 | 요리주점,서울 마포구 서강로9길 60,3.7,219,37.5546031,126.9305106
635,아오이토리,제과 | 베이커리,서울 마포구 와우산로29길 8,3.8,237,37.5547393,126.9294391
636,하이디라오 홍대지점,중국요리,서울 마포구 양화로 176 와이즈파크 5층,4.1,262,0,0
