,가게이름,카테고리,위치,평점,리뷰수,위도,경도
61,옥탑방,삼겹살,서울 은평구 서오릉로 115 1층,4.4,356,37.609738,126.9192393
62,오광참치,참치회,서울 은평구 갈현로36길 20 2층,3.8,15,37.6216149,126.9188986
63,오늘손칼국수앤찜 연신내점,국수,서울 은평구 연서로 187 1층,3.3,5,37.6155183,126.9178837
64,술있는부엌,술집,서울 은평구 연서로28길 16,3.9,44,37.61730920000001,126.9213906
65,소와연어,육류 | 고기,서울 은평구 연서로27길 20-4 1층,4.2,53,37.6184705,126.9175407
66,다슬기요리전문점,해장국,서울 은평구 연서로29길 8-11,2.5,37,37.6192366,126.9195323
67,로타리곱창타운,곱창 | 막창,서울 은평구 연서로27길 20-17 1층,3.7,85,37.6189271,126.9176134
68,전주대감감자탕뼈해장국,감자탕,서울 은평구 통일로83길 5-11,3.6,10,37.6204283,126.9190076
69,하남돼지집 연신내1호점,삼겹살,서울 은평구 연서로 200,3.1,10,37.6164234,126.9191176
70,할리스 연신내점,커피전문점,서울 은평구 연서로 212 1~3층,3.4,14,37.617136,126.9196929
71,홍제동30년 우동국수,국수,서울 은평구 서오릉로 242,2.9,191,37.6163119,126.9077889
72,안동유진찜닭 연신내점,닭요리,서울 은평구 연서로29길 7-23,4.7,10,37.6181673,126.9190675
73,KFC 연신내역점,패스트푸드,서울 은평구 연서로 226-1,3.1,11,37.6183888,126.920521
74,강씨네닭발,실내포장마차,서울 은평구 연서로 178-1 1층,4.6,61,37.6147166,126.9181105
75,옥이네김밥,분식,서울 은평구 연서로 247,3.4,40,37.61966779999999,126.9221552
76,카도야라멘 갈현점,일본식라면,서울 은평구 연서로29길 32 1층,3.4,27,37.6198578,126.9170233
77,아오리의행방불명 연신내점,일본식라면,서울 은평구 연서로 215-1 2층,3.9,23,37.6178665,126.9194706
78,투썸플레이스 연신내점,커피전문점,서울 은평구 연서로 223 2 3층,,5,37.6184663,126.9198357
79,연수식당,한식,서울 은평구 연서로27길 17-1,3.5,41,37.6179117,126.9174208
